Timestamp,Line,Status,Reason,Delay Time (Minutes),Route (Stops)
2025-03-03 14:50:38,1,Good Service,No Delay,N/A,"Belsize Park Station, Belsize Park Station, Camden Town Station / Camden Street, Chalk Farm Station, Chalk Farm Station, Elephant & Castle / New Kent Road, Elephant & Castle / New Kent Road, Euston Station  / Eversholt Street, Euston Station, Kingsway / Holborn Station, Holborn Station, Mornington Cres Stn / Camden Tn Library, Mornington Cres Stn / Camden Tn Library, Russell Square Station, Russell Square, Surrey Quays Station, Surrey Quays Station, Waterloo Station   / Waterloo Road, Waterloo Station / Tenison Way, Stables Market, Aldenham Street, Aldenham Street, Aldwych / Kingsway, Alscot Road, Alscot Road, Anchor Street, Anchor Street, Harris Academy, Bricklayer's Arms / New Kent Road, Bricklayer's Arms / New Kent Road, Beamish House, Bricklayer's Arms / Tower Bridge Road, Camden Gardens, Camden High Street, Canada Water Bus Station, Canada Water Bus Station, Chalk Farm Road / Morrisons, Corbetts Lane, Corbetts Lane, Southampton Row, Downside Crescent, Fendall Street, Galleywall Road / South Bermondsey Stn, Grange Road / Caledonian Market, Grigg's Place, Hartland Road / Camden Market, Hawley Road, Lancaster Place, Elephant & Castle / London Road, Elephant & Castle / London Road, Lynton Road, Lynton Road, Pratt Street, Reverdy Road, Rodney Place, Rodney Place, Rosslyn Hill, Rotherhithe New Rd / Sth Bermondsey Stn, Warndon Street, Rotherhithe Police Station, Rotherhithe Police Station, Royal Free Hospital, Royal Free Hospital, South End Green, Southwark Park Road / St James's Road, Southwark Park Road / St James's Road, Spa Road, Spa Road, Steele's Road / Steele's Village, Haverstock Hill / Steele's Village, St George's Circus, St George's Circus, Upper Woburn Place / Euston Road, Upper Woburn Place, Surrey Quays Shopping Centre, Tavistock Square, Tavistock Square, Southampton Row / Theobald's Road, Southampton Row / Theobald's Road, The Old Vic, The Old Vic, The Roundhouse, Upper Park Road, Upper Park Road, Warndon Street, Waterloo Bridge / South Bank, Waterloo Bridge / South Bank, Camden Town Station, Haverstock Hill / Pond Street, Rosslyn Hill, Bricklayer's Arms / Tower Bridge Road, Camden Town Station  / Bayham Street, Aldwych / Drury Lane, Kingsway / Holborn Station, Camden Town Station  / Bayham Street, Aldenham Street, Aldwych / Kingsway, Alscot Road, Anchor Street, Harris Academy, Bricklayer's Arms / New Kent Road, Camden Gardens, Corbetts Lane, Southampton Row, Downside Crescent, Fendall Street, Grange Road / Caledonian Market, Grigg's Place, Hartland Road / Camden Market, Hawley Road, Lancaster Place, Lynton Road, Pratt Street, Reverdy Road, Rodney Place, Rosslyn Hill, Warndon Street, Rotherhithe Police Station, Southwark Park Road / St James's Road, Spa Road, Steele's Road / Steele's Village, Haverstock Hill / Steele's Village, St George's Circus, Upper Woburn Place / Euston Road, Tavistock Square, Southampton Row / Theobald's Road, The Old Vic, The Roundhouse, Upper Park Road, Haverstock Hill / Pond Street, Bricklayer's Arms / Tower Bridge Road, Camden Town Station / Camden Street, Aldwych / Drury Lane, Waterloo Station   / Waterloo Road, Waterloo Station / Tenison Way, Beamish House, Camden High Street, Canada Water Bus Station, Galleywall Road / South Bermondsey Stn, Elephant & Castle / London Road, Elephant & Castle / New Kent Road, Euston Station  / Eversholt Street, Rotherhithe New Rd / Sth Bermondsey Stn, Royal Free Hospital, South End Green, Surrey Quays Shopping Centre, Waterloo Bridge / South Bank, Camden High Street, Camden Road Rail Station, Hampstead Heath Rail Station, South Bermondsey Rail Station, Surrey Quays Rail Station, Festival Pier, Camden Town Underground Station, Russell Square Underground Station"
2025-03-03 14:50:38,100,Good Service,No Delay,N/A,"St Botolph Street, Aldgate Station, Shadwell Station, St Paul's Station, Wapping Station, Tower Gateway Station, All Hallows Church, Garnet Street, Bishopsgate, Wormwood Street, Wormwood Street, Minories, Duke's Place, Dundee Street, Dundee Street, Glamis Place, Hermitage Wall, Hermitage Wall, King David Lane, King Edward Street / St Pauls Station, Mansell Street, London Wall, London Wall, Nesham Street, Clegg Street, St George's Town Hall / Shadwell Stn, St George's Town Hall / Shadwell Stn, Stockholm Way, St Paul's Church, Tobacco Dock, Tobacco Dock, The Highway, The Highway, Wapping Station, Wapping Health Centre, Wapping Health Centre, Sampson Street, Sampson Street, Wapping Wall, St Katharine Docks, St Katharine Docks, Tower Hill / Tower Gateway Station, London Wall / Moorgate Station, London Wall / Moorgate Station, Little Britain, All Hallows Church, Garnet Street, Wormwood Street, Dundee Street, Glamis Place, Hermitage Wall, King David Lane, Little Britain, London Wall, Nesham Street, Stockholm Way, St Paul's Church, The Highway, Wapping Health Centre, Sampson Street, Wapping Wall, St Katharine Docks, St Botolph Street, Bishopsgate, King Edward Street / St Pauls Station, London Wall / Moorgate Station, Minories, Duke's Place, Mansell Street, Clegg Street, St George's Town Hall / Shadwell Stn, Tobacco Dock, Tower Hill / Tower Gateway Station, Wapping Rail Station, Tower Bridge Quay, Aldgate Underground Station"
2025-03-03 14:50:38,101,Good Service,No Delay,N/A,"East Ham Station, East Ham Station, Wanstead High St / Wanstead Station, Manor Park Station, Manor Park Station, Albatross Close, Albatross Close, Bendish Road, Bendish Road, Berkeley Road, Berkeley Road, Blake Hall Crescent, Blake Hall Crescent, Bush Road, Bush Road, Cambridge Park, Capel Road, Capel Road, Caledon Road, City of London Cemetery, Romford Road, Cranbourne Road, Dover Road, Beckton Bus Station, Beckton Bus Station, East Ham / Central Park, East Ham / Central Park, East Ham Fire Station, High Street North, Empress Avenue, Empress Avenue, Felstead Road, Gladstone Avenue, Gladstone Avenue, Herongate Road, Lonsdale Avenue, Lonsdale Avenue, Market Street, Marlow Road, Merlin Road, Merlin Road, Mortimer Road, Newham Town Hall, Newham Town Hall, Park Road, Park Road, Ron Leighton Way, Queenswood Gardens, Queenswood Gardens, Romford Road, Ruskin Avenue, Ruskin Avenue, Shelley Avenue, Shelley Avenue, Kempton Road, Tilbury Road, Tollgate Road, Tollgate Road, Vicarage Lane, Wanstead Park Avenue, City of London Cemetery, Woodbine Place, Woodbine Place, Wanstead Station, Wanstead Station  / George Green, Albatross Close, Bendish Road, Berkeley Road, Blake Hall Crescent, Bush Road, Cambridge Park, Capel Road, Caledon Road, City of London Cemetery, Dover Road, East Ham / Central Park, East Ham Fire Station, High Street North, Empress Avenue, Felstead Road, Gladstone Avenue, Herongate Road, Lonsdale Avenue, Market Street, Marlow Road, Merlin Road, Mortimer Road, Newham Town Hall, Park Road, Ron Leighton Way, Queenswood Gardens, Romford Road, Ruskin Avenue, Shelley Avenue, Kempton Road, Tilbury Road, Tollgate Road, Vicarage Lane, Wanstead Park Avenue, Woodbine Place, Wanstead High St / Wanstead Station, Cranbourne Road, Beckton Bus Station, Manor Park Rail Station, Beckton DLR Station"
2025-03-03 14:50:38,102,Good Service,No Delay,N/A,"Bounds Green Station, Bounds Green Station, East Finchley Station, East Finchley Station, Addison Way, Albert Road, Albert Road, Angel Corner / Silver Street Station, Angel Corner / Silver Street Station, Aylmer Road, Pymmes Road, Pymmes Road, Beaufort Drive, Beaufort Drive, Belvedere Court, Belvedere Court, Birchwood Avenue, Blandford Close, Blandford Close, Brent Cross Shopping Centre, Brent Cross Shopping Centre, Brookland Rise, Brookland Rise, Bowes Road, Bowes Road, Cambridge Roundabout / East Side, Cambridge Roundabout / West Side, Chequers Way, Chequers Way, Childs Way, Childs Way, Clifton Gardens, Clifton Gardens, Claremont Way, Claremont Way, Clitterhouse Road North, Clitterhouse Road North, Colney Hatch Lane, Colney Hatch Lane, Dunstan Road, Dunstan Road, Edmonton Green Station, Edmonton Police Station, Edmonton Police Station, Midhurst Avenue, Midhurst Avenue, Fortismere Avenue, Golders Green / Finchley Road, Great North Road, Palmers Green / Palmerston Road, Green Lanes, Green Lanes, Palmerston Road, Clitterhouse Road South, Clitterhouse Road South, Hendon Way, Hendon Way, Henlys Corner, Henlys Corner, Henlys Corner / Addison Way, Hodford Road, Hoop Lane, Hoop Lane, North Middlesex Hospital, North Middlesex Hospital, Mapledown School, Mapledown School, Market Place, Market Place, Meadow Drive, Melville Gardens, Melville Gardens, Midholm, Monarch Court, Edmonton Green Bus Station, Edmonton Green Bus Station, Muswell Hill Road, Muswell Hill Road, Pymmes Park, Pymmes Park, Brettenham Road, Angel Corner, Brettenham Road, Caney Mews, Pennine Drive / Claremont Road, Cleveland Gardens, Cleveland Gardens, Rosebery Road, Rosebery Road, Shrubbery Road, Shrubbery Road, Twyford Avenue, Temple Fortune Lane, Temple Fortune Lane, Fairlawn Avenue, Cambridge Roundabout / East Side, The Vale, The Vale / Hendon Way, Fairlawn Avenue, Twyford Avenue, Ulster Gardens, Ulster Gardens, Victoria Road, Victoria Road, Victoria Road, Eastholm, St Andrew's Church, St Andrew's Church, Woodfield Way, Woodfield Way, York Road, York Road, Queens Avenue, Muswell Hill, Muswell Hill, Princes Avenue, Angel Corner, Cambridge Roundabout / West Side, Golders Green Station, Golders Green Station, Millfield Theatre & Arts Centre, The Vale, Palmerston Road, Addison Way, Albert Road, Angel Corner, Aylmer Road, Pymmes Road, Beaufort Drive, Belvedere Court, Birchwood Avenue, Blandford Close, Bowes Road, Brent Cross Shopping Centre, Brookland Rise, Cambridge Roundabout / East Side, Chequers Way, Childs Way, Clifton Gardens, Claremont Way, Clitterhouse Road North, Colney Hatch Lane, Dunstan Road, Edmonton Police Station, Midhurst Avenue, Fortismere Avenue, Golders Green / Finchley Road, Great North Road, Green Lanes, Clitterhouse Road South, Hendon Way, Henlys Corner, Henlys Corner / Addison Way, Hodford Road, Hoop Lane, North Middlesex Hospital, Mapledown School, Market Place, Meadow Drive, Melville Gardens, Midholm, Monarch Court, Edmonton Green Bus Station, Muswell Hill Road, Tottenhall Road, Pymmes Park, Brettenham Road, Pennine Drive / Claremont Road, Cleveland Gardens, Caney Mews, Rosebery Road, Shrubbery Road, Twyford Avenue, Temple Fortune Lane, Fairlawn Avenue, The Vale / Hendon Way, Twyford Avenue, Ulster Gardens, Victoria Road, Victoria Road, Eastholm, St Andrew's Church, Woodfield Way, York Road, North Middlesex Hospital, Queens Avenue, Muswell Hill, Muswell Hill Broadway, Princes Avenue, Millfield Theatre & Arts Centre, Brent Cross Centre / North Circular Road, Cambridge Roundabout / West Side, Angel Corner / Silver Street Station, Brent Cross West Station, Silver Street Rail Station, Golders Green Underground Station"
2025-03-03 14:50:38,103,Good Service,No Delay,N/A,"Dagenham East Station, Dagenham East Station, Rainham Interchange, Rainham Station, Romford Station, Romford Station, Knightswood Road, Woodshire Road, Ashmour Gardens, Ashmour Gardens, Avelon Road, Ballards Road, Ballards Road, Barton Avenue, Barton Avenue, The Avenue, Bull Lane, Bull Lane, Campbell Close, Leys Avenue, Woodshire Road, Chase Cross, Cherry Tree Lane, Cherry Tree Lane, Clayton Road, Clayton Road, Crow Lane, Crow Lane, Cu London University / Wood Lane, Cu London University / Wood Lane, Rush Green Road / Dagenham Road, Dovers Corner, Dovers Corner, Cu London University / Rainham Rd North, Cu London University / Rainham Rd North, Fyfield Road, Fyfield Road, Garry Way, Gobions Avenue, Havering Road, North Street, Heather Close, Heather Close, Heather Gardens, Heather Gardens, Knightswood Road, Leonard Avenue, Leonard Avenue, Leys Avenue, Ballards Road, Aldborough Road, Mashiters Hill, Mashiters Hill, Mercury Gardens, Moray Way, Moray Way, South Hornchurch Library, South Hornchurch Library, Oxlow Lane, Rainham Road South / Dagenham Road, Romford Bus Garage, Pettits Lane, Pettits Lane, Rainham War Memorial, Rainham War Memorial, Reede Road, Reede Road, Cedar Road, Romford Bus Garage, Romford Market, Romford Market, Rom Valley Way, Rom Valley Way, Norwood Avenue, Norwood Avenue, Sandown Avenue, The Avenue, Thorogood Way, Thorogood Way, Victoria Road, Victoria Road, Western Road, York Road, York Road, Oldchurch Rise, Oldchurch Rise, Rush Green Road / Dagenham Road, Reede Road, Knightswood Road, Woodshire Road, Ashmour Gardens, Avelon Road, Ballards Road, Barton Avenue, The Avenue, Bull Lane, Campbell Close, Leys Avenue, Chase Cross, Cherry Tree Lane, Clayton Road, Crow Lane, Cu London University / Wood Lane, Dovers Corner, Cu London University / Rainham Rd North, Fyfield Road, Garry Way, Gobions Avenue, North Street, Havering Road, Heather Close, Heather Gardens, Leonard Avenue, Aldborough Road, Mashiters Hill, Mercury Gardens, Moray Way, South Hornchurch Library, Oxlow Lane, Rainham Road South / Dagenham Road, Pettits Lane, Rainham War Memorial, Cedar Road, Romford Bus Garage, Romford Market, Rom Valley Way, Norwood Avenue, Sandown Avenue, Thorogood Way, Victoria Road, Western Road, York Road, Oldchurch Rise, Rainham (London) Rail Station, Dagenham East Underground Station"
2025-03-03 14:50:38,104,Special Service,"BOUNDARY ROAD, NEWHAM, E6: ROUTE 104 is on diversion via New City Road, Barking Road and Green Street due to emergency works taking place at the junction of Boundary Road and Wilson Road. Bus stops from 'New City Road' (HL) to 'Barking Road' (R) will be missed in both directions. Please check your route at the start of your journey with the driver.",N/A,"Upton Park Station, Upton Park Station, Barking Road, Amity Road, Amity Road, Albatross Close, Albatross Close, Creighton Avenue, Stratford Park, Stratford Park, Beckton Bus Station, Beckton Bus Station, Greatfield Avenue, Hatherley Gardens, Haldane Road, Hatherley Gardens, Lonsdale Avenue, Lonsdale Close, Lonsdale Close, Lucas Avenue, Churston Avenue, New City Road, Park Road, Park Grove, Park Road, Penge Road, Plashet Road, Plashet Road, Queens Market, Sandford Road, Sandford Road, St Antony's Road, St Antony's Road, Stratford Broadway, Stratford Broadway, Stratford Bus Station, Stratford Bus Station, Tollgate Road, Tollgate Road, Tudor Road, Upton Lane, Upton Lane, Upton Park / Boleyn, Paul Street, Barnby Street, Wilson Road, Upton Park / Boleyn, Barking Road, Amity Road, Albatross Close, Creighton Avenue, Stratford Park, Greatfield Avenue, Hatherley Gardens, Lonsdale Avenue, Lonsdale Close, Lucas Avenue, Churston Avenue, New City Road, Park Road, Park Grove, Penge Road, Plashet Road, Queens Market, Sandford Road, St Antony's Road, Stratford Broadway, Tollgate Road, Tudor Road, Upton Lane, Upton Park / Boleyn, Barnby Street, Wilson Road, Paul Street, Haldane Road, Beckton Bus Station, Stratford Bus Station, Beckton DLR Station"
2025-03-03 14:50:38,105,Good Service,No Delay,N/A,"Greenford Station, Rockware Avenue / Greenford Station, Southall Station, High Street / Southall Town Hall, Ash Grove, Ash Grove, Avon Road, Avon Road, Birkbeck Avenue, Bolton's Lane, Mondial Way, North Road, North Road, Allenby Road, Allenby Road, Costons Lane, Costons Lane, Courthope Road, Cowgate Road, Cowgate Road, Cranford Community School, Cranford Community School, Waye Avenue, Waye Avenue, Quinton Close, Derley Road, Derley Road, Dormers Avenue, Dormers Avenue, Telford Road, Telford Road, Eastmead Avenue, Beechwood Avenue, Ruislip Road East, Ruislip Road East, Oldfield Lane South, Greenford Broadway, Navigator Park, Navigator Park, Harlington Corner, Harlington Corner, Heathrow Central Bus Station, Heston Centre, Heston Centre, Ingram Way / Bridge Hotel, Kingsley Avenue, Kingsley Avenue, King Street, King Street, Masefield Avenue, Masefield Avenue, Newport Road, New Road, North Avenue, North Avenue, Oxford Avenue, Oxford Avenue, Park Avenue, Park Avenue, Pembroke Road, Pembroke Road, Ruislip Road, Ruislip Road, Rutland Road, Rutland Road, Brent Road, Brent Road, Nene Road, Nene Road, Sipson Way / Blunts Avenue, Southall Broadway, Southall Broadway, Wentworth Road, Sunnycroft Road, Sussex Road, Montague Waye, The Avenue, The Avenue, The Green, The Green, The Parkway, The Parkway, Craneswater, Craneswater, Uneeda Drive, Southall Town Hall, Waltham Road, Wentworth Road, Greenford Station, Nobel Drive, Heathrow Central Bus Station, North Road, High Street / Southall Town Hall, Ash Grove, Avon Road, Birkbeck Avenue, Bolton's Lane, Mondial Way, Allenby Road, Costons Lane, Courthope Road, Cowgate Road, Cranford Community School, Waye Avenue, Quinton Close, Derley Road, Dormers Avenue, Telford Road, Eastmead Avenue, Beechwood Avenue, Ruislip Road East, Greenford Broadway, Oldfield Lane South, Navigator Park, Harlington Corner, Heston Centre, Ingram Way / Bridge Hotel, Kingsley Avenue, King Street, Masefield Avenue, Newport Road, New Road, North Avenue, Oxford Avenue, Park Avenue, Pembroke Road, Ruislip Road, Rutland Road, Brent Road, Nene Road, Sipson Way / Blunts Avenue, Southall Broadway, Sunnycroft Road, Sussex Road, Montague Waye, The Avenue, Westerham Green, The Parkway, Craneswater, Uneeda Drive, Southall Town Hall, Waltham Road, Wentworth Road, Nobel Drive, Rockware Avenue / Greenford Station, Heathrow Central Bus Stn (Rail-Air)"
2025-03-03 14:50:38,106,Special Service,"MARE STREET, E9: ROUTES 55 106 254 are on diversion in both directions via Morning Lane, Ponsford Street, Homerton High Street, Urswick Road and Lower Clapton Road due to a road traffic incident at Mare Street. Bus stops from 'Hackney Central Station' (J) (H) to 'Hackney Baths (U) (V) will not be served in either direction. Please allow extra time for your journey.",N/A,"Bethnal Green Station, Bethnal Green Station, Finsbury Park Interchange, Finsbury Park Interchange, Hackney Central Station, Cambridge Heath Station, Cambridge Heath Station, Clapton Station, Clapton Station, Hackney Central Station, Amhurst Road / Hackney Downs Station, Stoke Newington Station, Stoke Newington Station, Brownswood Road / Green Lanes, Mare Street / Victoria Park Road, Upper Clapton Road / Brooke Road, Stoke Newington High St / Brooke Road, Lea Bridge Roundabout, Cephas Street, Cephas Street, Stoke Newington Church Street, Clapton Pond, Clapton Square, Darling Row, City & Islington College, Brownswood Road / Finsbury Park Road, Geldeston Road, Geldeston Road, Glenarm Road, Green Lanes, Hackney Baths, Hackney Baths, Mare Street / Victoria Park Road, Hackney Town Hall, Darling Row, King Edward's Road, Clapton Pond, Lea Bridge Roundabout, Clapton Girls' Academy, Clapton Girls' Academy, Listria Park, Listria Park, Lordship Road, Lordship Road, Millfields Road, Monsell Road, Mare Street / Narrow Way, Pembury Circus, Northwold Road / Stoke Newington Common, Old Ford Road, Old Ford Road, Queen Elizabeth's Walk, Queen Elizabeth's Walk, Queen's Drive, Queen's Drive, Clapton Library, Clapton Library, Rock Street, King Edward's Road, St Thomas's Square, St Thomas's Square, Heathland Road, Heathland Road, Stoke Newington Common, Three Colts Lane, Three Colts Lane, Well Street, Mare Street / Well Street, Cavell Street, Fountayne Road, Brownswood Road / Green Lanes, Mare Street / Victoria Park Road, Upper Clapton Road / Brooke Road, Cephas Street, Clapton Pond, Clapton Square, Darling Row, City & Islington College, Brownswood Road / Finsbury Park Road, Geldeston Road, Glenarm Road, Green Lanes, Hackney Baths, King Edward's Road, Lea Bridge Roundabout, Clapton Girls' Academy, Listria Park, Lordship Road, Millfields Road, Monsell Road, Mare Street / Narrow Way, Pembury Circus, Northwold Road / Stoke Newington Common, Old Ford Road, Queen Elizabeth's Walk, Queen's Drive, Rock Street, Heathland Road, Stoke Newington Common, Three Colts Lane, Mare Street / Well Street, Well Street, Cavell Street, Stoke Newington High St / Brooke Road, Stoke Newington Church Street, Fountayne Road, Finsbury Park Interchange, Hackney Town Hall, Clapton Library, St Thomas's Square, Amhurst Road / Hackney Downs Station, Clapton Rail Station, Hackney Central Rail Station, Hackney Downs Rail Station, London Fields Rail Station"
2025-03-03 14:50:38,107,Good Service,No Delay,N/A,"Stirling Corner, Ashley Drive, Ripon Way, Warren Grove, Kenilworth Drive, Chester Road, Warwick House, Studio Way, Hertsmere Civic Offices, Borehamwood Tesco, Borehamwood Tesco, Elstree Studios, Furzehill Road, Glenhaven Avenue, Deacons Hill Road, Barham Avenue, Knowl Way, Elstree Hill North, Rodgers Close, Glenhaven Avenue, Furzehill Road, Elstree Studios, Elstree Hill North, Knowl Way, Barham Avenue, Deacons Hill Road, Elstree & Borehamwood Station, Elstree & Borehamwood Station, Hertsmere Civic Offices, Studio Way, Warwick House, Chester Road, Kenilworth Drive, Warren Grove, Ripon Way, Dacre Gardens, Dacre Gardens, Ashley Drive, Stirling Corner / Barnet Lane, Sullivan Way, Watling Court, Elstree Hill South / Centennial Park, Watling Court, Rodgers Close, Sullivan Way, Dacre Gardens, Stirling Corner, Centennial Park, Elstree & Borehamwood Railway Station, Glenhaven Avenue, Barham Avenue, Elstree Studios, Civic Offices, Studio Way, Edgware Station  / Station Road, Edgware Bus Station, Edgware Station, High Barnet Station, High Barnet Station, New Barnet Station, New Barnet Station  / Station Road, New Barnet Station, Barnet High Street / Barnet Church, Barnet Church, Barnet Hospital / Queens Road, Barnet Hospital / Queens Road, Potters Lane, Canons Corner, Edgwarebury Gardens, Edgwarebury Lane / Edgware Way, Edgwarebury Lane / Edgware Way, Edgware Way, Edgware Way, Garden Close, Garden Close, Glebe Lane, Glebe Lane, Glendale Avenue, Manor Road, High Barnet Station  / Meadway, New Barnet Station  / Station Road, Parkside Drive, Pipers Green Lane, Pipers Green Lane, Purcells Avenue, Quinta Drive, Quinta Drive, Rowley Green Road, Rowley Green Road, Royal National Orthopaedic Hospital, Royal National Orthopaedic Hospital, Stirling Corner / Barnet Road, Stirling Corner / Barnet Road, Galley Lane, Galley Lane, Brickfield Lane, Brickfield Lane, Underhill, Union Street, Union Street, Warwick Road, Warwick Road, Barnet Church / Wood Street, Barnet Church / Wood Street, Barnet Everyman Cinema, Barnet Everyman Cinema, Brockley Avenue, New Barnet Station  / Station Road, Barnet Hospital / Queens Road, Barnet Hospital, Potters Lane, Canons Corner, Edgwarebury Gardens, Edgwarebury Lane / Edgware Way, Edgware Way, Garden Close, Glebe Lane, Glendale Avenue, Manor Road, Parkside Drive, Pipers Green Lane, Edgware Station  / Station Road, Purcells Avenue, Quinta Drive, Rowley Green Road, Royal National Orthopaedic Hospital, Barnet Everyman Cinema, Stirling Corner / Barnet Road, Galley Lane, Brickfield Lane, Underhill, Union Street, Warwick Road, Barnet Church / Wood Street, Barnet High Street / Barnet Church, Brockley Avenue, Barnet Church, High Barnet Station  / Meadway, Elstree & Borehamwood Rail Station, Edgware Underground Station, High Barnet Underground Station"
2025-03-03 14:50:38,108,Special Service,LEWISHAM HIGH STREET: ROUTES 54 108 122 are diverted northbound due to works. Buses are not serving stops Lewisham Centre (stop U) and Lewisham Clock Tower (stop R). ROUTES 54 108 and 122 will not serve Lewisham Centre (stop V). Use the Molesworth Street (stop I).,N/A,"Blackheath Station, Blackheath Station, Lewisham Station, Westcombe Park Station, Westcombe Park Station, Bow Church Station, Bow Church Station, Devons Road Station, Devons Road Station, Stratford International Station, Warton Road, Abbey Lane, Bazely Street, Bazely Street, Blackheath / Royal Standard, Stratheden Parade, Blackheath Hospital, Blackheath Hospital, Blackwall Tunnel / East India Dock Road, Boord Street, Boord Street, Bow Church, Bow Road, Bow Church, Bow Flyover, Chrisp Street Market, Chrisp Street Market, Langdon Park Station, Langdon Park Station, Kirkside Road, Kirkside Road, Lewisham Clock Tower, Lockmead Road, Lockmead Road, Marshgate Lane, Millennium Village / Oval Square, Millennium Village / Oval Square, Millennium Village South, Millennium Village South, Montpelier Row, Montpelier Row, Fawe Street, Fawe Street, North Greenwich Station, North Greenwich Station, Rounton Road, Rounton Road, Royal Parade, Millennium Leisure Park East, Millennium Leisure Park East, Stratheden Road / Shooters Hill Road, Stratheden Road / Shooters Hill Road, St Germans Place, St Germans Place, St Margaret's Church / Brandram Road, St Margaret's Church / Brandram Road, Millennium Leisure Park West, Millennium Leisure Park West, The Squirrels, The Squirrels, Cranwell Close, Cranwell Close, Warton Road, Combedale Road, Westerdale Road, Blackheath / Royal Standard, Molesworth Street / Riverdale House, Stratford International Station, Stratford City Bus Station, Stratford City Bus Station, London Aquatics Centre, London Aquatics Centre, Gibbins Road, Carpenters Primary School, Abbey Lane, Blackheath / Royal Standard, Blackheath Hospital, Blackwall Tunnel / East India Dock Road, Boord Street, Bow Road, Kirkside Road, Lewisham Clock Tower, Lockmead Road, Millennium Village / Oval Square, Millennium Village South, Montpelier Row, Fawe Street, Rounton Road, Royal Parade, Millennium Leisure Park East, Stratheden Road / Shooters Hill Road, St Germans Place, St Margaret's Church / Brandram Road, Millennium Leisure Park West, The Squirrels, Cranwell Close, Warton Road, Combedale Road, Westerdale Road, Molesworth Street / Riverdale House, Stratheden Parade, Stratford City Bus Station, London Aquatics Centre, Gibbins Road, Langdon Park Station, Bazely Street, Bow Church, Bow Flyover, Chrisp Street Market, Marshgate Lane, North Greenwich Station, All Saints DLR Station, Bow Church DLR Station, Pudding Mill Lane DLR Station"
